Spectra names,Picture_ID,Picture_S0_ID,openCV_Radius-pixel,openCV_Radius,openCV_Volume,openCV_Content,Spectra_Hight,Spectra_Peak,Spectra_Left,Spectra_Right,Spectra_Area,Spectra_Content
JCM14889-1s-9_1,9,0,8.246311188,0.816384808,2.279152325,4.307597894,1.706464048,220,206,230,13.62074796,3.813809429
JCM14889-1s-10_1,10,3,6.820932865,0.675272354,1.289809342,2.437739656,1.537626152,220,208,231,12.32836482,3.45194215
JCM14889-1s-12_1,12,4,6.534771442,0.646942373,1.134188921,2.14361706,1.741463856,219,197,231,13.56447529,3.798053081
JCM14889-1s-17_1,17,4,7.222322941,0.715009971,1.531175263,2.893921247,1.735961853,220,208,231,14.17997503,3.970393009
JCM14889-1s-18_1,18,2,6.648412704,0.658192858,1.194395354,2.257407218,1.525729165,220,206,231,12.11400583,3.391921632
JCM14889-1s-19_1,19,7,4.884510517,0.483566541,0.47364978,2.336195075,0.899895442,221,210,231,7.549504886,2.113861368
JCM14889-1s-21_1,21,1,6.800835609,0.673282725,1.278441984,2.698249634,1.661053956,220,199,231,12.48869594,3.496834862
JCM14889-1s-24_1,24,11,7.1772542,0.710548166,1.502689243,2.840082669,1.823086562,220,200,231,14.76530478,4.134285338
JCM14889-1s-28_1,28,14,7.762187481,0.768456561,1.900844442,3.592595996,1.976664635,221,206,231,15.64321788,4.380101005
JCM14889-1s-29_1,29,9,8.152054787,0.807053424,2.201889205,4.239714431,1.71446147,220,203,231,13.07257242,3.660320277
JCM14889-1s-30_1,30,4,6.708303928,0.664122089,1.226965595,2.318964975,1.8817758,220,203,231,14.50893975,4.06250313
JCM14889-1s-31_1,31,2,6.964294434,0.689465149,1.372857828,5.749502375,1.236676197,220,204,231,9.605618294,2.689573122
JCM14889-1s-32_1,32,6,8.813131332,0.872500002,2.782178044,5.258316504,0.866615454,220,206,231,7.050739466,1.97420705
JCM14889-1s-33_1,33,13,7.623612404,0.754737628,1.800846172,3.403599265,1.508879809,220,204,231,11.49967938,3.219910228
JCM14889-1s-35_1,35,17,8.860122681,0.877152145,2.826919223,5.342877332,1.617063797,220,200,231,12.2532108,3.430899023
JCM14889-1s-37_1,37,29,6.500707626,0.643570055,1.116544649,2.110269386,1.455081905,220,209,231,11.01520764,3.084258139
JCM14889-1s-39_1,39,4,8.066293716,0.798563078,2.133124917,4.117501358,1.7008848,221,203,231,13.33423121,3.733584738
JCM14889-1s-40_1,40,8,7.027317047,0.695704388,1.410466697,2.665782058,1.510405152,220,197,231,10.9503615,3.066101221
JCM14889-1s-42_1,42,2,8.276573181,0.819380745,2.304336353,4.355195708,1.582361867,220,200,231,11.80511748,3.305432896
JCM14889-1s-43_1,43,13,8.860122681,0.877152145,2.826919223,5.342877332,1.869718324,220,199,231,14.38658236,4.02824306
JCM14889-1s-47_1,47,1,7.921546936,0.784233147,2.020338744,3.818440227,1.388132389,220,208,231,10.6189592,2.973308576
JCM14889-1s-48_1,48,1,7.159010887,0.708742078,1.491259632,2.818480704,1.478826307,221,204,231,11.34093937,3.175463023
JCM14889-1s-50_1,50,26,7.782931328,0.770510201,1.916124785,3.621475844,1.805138205,220,203,231,14.6650477,4.106213356
JCM14889-1s-53_1,53,8,7.102205753,0.70311837,1.456042134,2.751919633,1.085123826,220,205,231,9.216704404,2.580677233
JCM14889-1s-55_1,55,1,7.089196682,0.701830472,1.448055707,2.736825287,1.724655907,220,205,231,13.64011299,3.819231637
JCM14889-1s-56_1,56,1,8.077847481,0.799706901,2.142304203,4.048954944,2.160594422,221,205,231,17.41468881,4.876112867
JCM14889-1s-57_1,57,2,6.964294434,0.689465149,1.372857828,2.594701295,1.532871588,220,205,231,12.26774389,3.434968289
JCM14889-1s-60_1,60,2,7.177246094,0.710547363,1.502684151,2.840073045,1.660644175,221,208,231,13.04269186,3.651953721
JCM14889-1s-61_1,61,0,6.275928497,0.621316921,1.004680919,1.898846936,1.187517393,220,212,231,8.996371732,2.518984085
JCM14889-1s-62_1,62,0,6.105481148,0.604442634,0.925025866,2.172471082,1.370042034,221,206,231,10.6898498,2.993157944
JCM14889-1s-63_1,63,0,7.656625748,0.758005949,1.824342819,3.448007928,1.634884581,221,206,231,13.09638162,3.666986854
JCM14889-1s-64_1,64,2,7.981935978,0.790211662,2.066897373,3.906436034,1.787974624,220,206,231,14.10511937,3.949433424
JCM14889-1s-65_1,65,2,7.354129791,0.728058849,1.616545988,3.055271918,1.796347334,221,205,231,14.15144872,3.962405642
JCM14889-1s-68_1,68,12,7.23570776,0.716335068,1.539704032,2.910040621,1.727417391,220,205,231,13.8688339,3.883273492
JCM14889-1s-70_1,70,10,8.32349968,0.824026468,2.343754368,4.429695756,1.658179258,221,205,231,13.33429764,3.733603339
JCM14889-1s-71_1,71,2,7.159010887,0.708742078,1.491259632,2.818480704,1.666011972,220,205,231,13.11987032,3.67356369
JCM14889-1s-72_1,72,0,8.246311188,0.816384808,2.279152325,4.307597894,1.719495528,220,205,231,13.67472461,3.828922891
JCM14889-1s-73_1,73,10,7.827377319,0.774910355,1.949139854,3.683874325,1.761578649,220,205,231,13.97913386,3.914157481
JCM14889-1s-74_1,74,1,7.871130943,0.779241963,1.982008922,3.745996862,1.863445245,220,205,231,14.58992407,4.08517874
JCM14889-1s-75_1,75,3,8.077847481,0.799706901,2.142304203,4.048954944,1.864005992,220,206,231,14.97204367,4.192172228
JCM14889-1s-76_1,76,3,7.615873337,0.75397146,1.795367381,3.393244351,1.381417783,220,206,231,10.53355556,2.949395557
JCM14889-1s-78_1,78,12,7.500100136,0.742509913,1.714728549,3.240836957,1.623958021,221,206,231,13.00785506,3.642199417
JCM14889-1s-79_1,79,11,8.155392647,0.807383872,2.204595004,4.166684558,1.758574743,220,205,231,14.06935225,3.93941863
JCM14889-1s-80_1,80,5,7.817527294,0.773935202,1.941790678,3.669984381,1.925374293,220,205,231,15.5634678,4.357770984
JCM14889-1s-81_1,81,3,8.412248611,0.832812613,2.419527098,4.572906216,1.845052862,221,207,231,14.81415729,4.147964041
JCM14889-1s-84_1,84,1,7.177246094,0.710547363,1.502684151,2.840073045,1.14359362,220,207,231,9.081431209,2.542800739
JCM14889-1s-85_1,85,7,7.280210018,0.720740792,1.568288352,2.964064986,1.279584923,221,208,231,10.27990048,2.878372134
JCM14889-1s-87_1,87,13,7.923352242,0.784411872,2.021720353,3.821051468,2.017829047,221,205,231,15.90746226,4.454089433
JCM14889-1s-89_1,89,2,7.712218285,0.76350961,1.864370115,3.523659517,1.724257005,221,205,231,13.43175506,3.760891417
JCM14889-1s-90_1,90,1,8.005734444,0.79256771,2.085440164,3.94148191,2.015851551,221,205,231,16.26635666,4.554579865
JCM14889-1s-91_1,91,3,7.092786312,0.702185845,1.4502565,2.740984785,1.682578409,221,207,231,13.27977281,3.718336387
