condition,Raman,sgpA,sgpB,sgpC,sgp
d0,1.67,4.433,1.409,0.264,6.106
d1-1,204.61,8.699,14.6,0.895,24.194
d2-1,141.57,8.484,8.33,1.607,18.421
d3-1,41.09,3.149,5.331,0.98,9.46
d1-2,119.87,9.826,3.777,0.386,13.989
d2-2,15.33,5.635,3.504,0.375,9.514
d3-2,3.65,8.06,2.716,0.593,11.368
d1-3,8.18,8.079,2.343,0.731,11.154
d2-3,0.83,4.371,1.694,0.214,6.279
d3-3,0,6.106,0.908,0.31,7.324
d1-4,226.44,6.344,17.938,1.329,25.611
d2-4,116.69,6.206,8.325,1.351,15.882
d3-4,36.89,5.422,2.485,2.299,10.206
