id,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,content
204,d0-1,d0,1,TRUE,JCM14889-1s-105,0.215058457,218,206,226,2.200672514,2,204,0.616188304
206,d1-1,d1,1,TRUE,JCM14889-1-1s-2,1.245319578,217,195,233,12.57169953,2,206,3.520075868
208,d1-1,d1,1,TRUE,JCM14889-1-1s-4,1.077543111,218,202,229,11.47003737,2,208,3.211610464
209,d1-1,d1,1,TRUE,JCM14889-1-1s-5,0.9916689,218,204,230,10.35719992,2,209,2.900015978
210,d1-1,d1,1,TRUE,JCM14889-1-1s-6,1.025996785,218,203,232,11.53798989,2,210,3.230637169
211,d1-1,d1,1,TRUE,JCM14889-1-1s-7,0.537164753,217,206,230,5.874173552,2,211,1.644768595
212,d1-1,d1,1,TRUE,JCM14889-1-1s-8,0.979253019,218,202,230,10.17460554,2,212,2.848889551
213,d1-1,d1,1,TRUE,JCM14889-1-1s-9,0.945661337,219,205,233,9.863099009,2,213,2.761667723
214,d1-1,d1,1,TRUE,JCM14889-1-1s-10,1.110658061,218,202,230,11.40213008,2,214,3.192596422
215,d1-1,d1,1,TRUE,JCM14889-1-1s-11,0.357434354,218,206,228,3.100140001,2,215,0.8680392
217,d1-1,d1,1,TRUE,JCM14889-1-1s-13,0.511908308,217,206,227,4.57051806,2,217,1.279745057
218,d1-1,d1,1,TRUE,JCM14889-1-1s-14,0.650571514,218,204,229,6.14077347,2,218,1.719416572
219,d1-1,d1,1,TRUE,JCM14889-1-1s-15,0.946869575,218,200,229,8.8770525,2,219,2.4855747
220,d1-1,d1,1,TRUE,JCM14889-1-1s-16,0.709003274,217,203,229,7.337011214,2,220,2.05436314
221,d1-1,d1,1,TRUE,JCM14889-1-1s-17,1.250698654,218,202,232,13.19093201,2,221,3.693460963
222,d1-1,d1,1,TRUE,JCM14889-1-1s-18,0.696587528,217,205,228,6.565665683,2,222,1.838386391
223,d1-1,d1,1,TRUE,JCM14889-1-1s-19,0.365991216,219,203,231,3.369487644,2,223,0.94345654
