,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
66,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-8,0.673679197,220,210,231,7.566095114,2,66,3.854025031
67,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-9,0.543822628,222,209,231,4.551788567,2,67,2.746553441
68,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-10,1.805476739,220,208,232,16.59256801,2,68,6.505425949
69,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-11,1.233277219,220,209,231,10.77703308,2,69,4.879022384
70,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-12,1.992340263,220,205,232,18.24523444,2,70,6.930527623
71,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-13,1.407359194,221,210,234,14.30802986,2,71,5.893680089
72,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-14,2.172380676,220,206,234,21.67141269,2,72,7.773050365
73,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-15,1.184359028,221,208,232,12.0490241,2,73,5.255748586
74,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-17,1.076335286,220,209,232,11.21825894,2,74,5.011298897
75,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-18,1.744962722,220,207,233,16.99682102,2,75,6.610664765
76,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-19,2.225289474,220,208,234,21.11682118,2,76,7.639865182
77,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-20,2.183078669,220,207,233,21.2131429,2,77,7.663079746
78,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-21,2.08783001,220,206,234,19.34161018,2,78,7.20546065
79,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-23,1.387906365,220,209,232,13.92302029,2,79,5.787472904
80,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-25,1.594158567,221,207,232,16.42595684,2,80,6.46180406
81,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-26,1.899943683,220,208,235,18.87807453,2,81,7.089873138
82,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-27,0.593361383,221,214,230,3.593282679,2,82,2.345997739
83,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-28,1.853243341,220,202,233,17.08492017,2,83,6.633488328
84,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-29,1.601978075,220,207,235,16.18631256,2,84,6.39880116
85,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-30,2.438499953,220,206,234,22.88736888,2,85,8.061154523
86,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-31,2.227888045,221,206,234,21.30362855,2,86,7.684855764
87,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-32,2.409973285,220,206,234,22.96249709,2,87,8.07878548
88,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-33,1.54012808,220,206,233,13.93303024,2,88,5.790246507
89,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-34,2.120974384,221,207,234,20.41996386,2,89,7.470849357
91,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-36,2.225650477,220,206,233,21.65605293,2,91,7.76937713
92,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-37,1.900468708,220,203,235,17.9389056,2,92,6.852735399
93,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-38,1.470705235,220,209,232,13.94963669,2,93,5.794846432
94,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-39,1.892132668,220,209,232,17.99904228,2,94,6.868041828
95,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-40,1.916593698,220,203,234,18.58521187,2,95,7.016356989
