,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
5,D1-4,D1,4,TRUE,JCM14889-1s-3,0.722411023,220,206,233,6.707861072,2,5,3.556772107
6,D1-4,D1,4,TRUE,JCM14889-1s-4,0.495910492,220,205,229,4.192198072,2,6,2.59992725
7,D1-4,D1,4,TRUE,JCM14889-1s-5,0.48013285,220,209,231,4.311486134,2,7,2.649016494
8,D1-4,D1,4,TRUE,JCM14889-1s-6,0.962713974,220,206,232,8.673156952,2,8,4.221351055
9,D1-4,D1,4,TRUE,JCM14889-1s-7,1.006817231,220,206,233,8.348019989,2,9,4.115181427
10,D1-4,D1,4,TRUE,JCM14889-1s-8,0.733449906,220,206,233,7.122163334,2,10,3.701757396
11,D1-4,D1,4,TRUE,JCM14889-1s-9,0.320292737,220,212,228,2.325187423,2,11,1.755113918
12,D1-4,D1,4,TRUE,JCM14889-1s-10,0.802210672,221,208,232,6.9216688,2,12,3.631955703
13,D1-4,D1,4,TRUE,JCM14889-1s-13,1.392949847,220,200,232,11.58133197,2,13,5.118849256
14,D1-4,D1,4,TRUE,JCM14889-1s-14,1.353874313,220,200,232,11.13697244,2,14,4.987061953
15,D1-4,D1,4,TRUE,JCM14889-1s-15,1.251359302,219,199,232,10.8151302,2,15,4.890513942
16,D1-4,D1,4,TRUE,JCM14889-1s-16,1.269811897,220,200,232,10.07334364,2,16,4.664256583
17,D1-4,D1,4,TRUE,JCM14889-1s-17,0.852125361,220,203,229,7.474179162,2,17,3.822747996
18,D1-4,D1,4,TRUE,JCM14889-1s-18,1.246061484,220,206,232,11.36657864,2,18,5.055372642
19,D1-4,D1,4,TRUE,JCM14889-1s-19,1.098043779,220,202,232,9.161471826,2,19,4.378346888
20,D1-4,D1,4,TRUE,JCM14889-1s-20,1.411288754,220,203,233,12.58330076,2,20,5.409989033
21,D1-4,D1,4,TRUE,JCM14889-1s-21,1.152376415,220,209,235,9.247614803,2,21,4.405749707
