,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
61,0,0,0,0,0,0,1.768046275,0,1.039159728,0,0,0,0,2.781762947,0,2.339792405,0,0,0,0,0,0,0,0,0,0,0,0,2.288213022,0,0,0,0,0,0,0,0,1.264355998,0,0,0,0,0,0,0,0,0,0,0,1.664428644,0,1.523245852,2.28801209,0,0,1.722416204,0,1.219823573,0,0,1.205105777,0,0,0,0,0
60,0,0,0,0,0,0,3.522347368,0,3.325934317,0,0,2.349836486,3.17247441,2.592503938,0,0,0,3.045418626,0,0,0,0,0,0,0,0,0,0,0,0,1.326057766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153382412,2.12549013,1.045167391,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,2.71204809,0,2.200676374,4.264829192,4.342281771,5.484200246,4.963703909,6.305710099,4.417889859,4.755406113,6.411796682,4.630684836,0,0,2.022268976,0,1.271684632,0,0,0,0,1.862233983,0,0,0,0,0,0,1.631747501,0.989511503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.348580092,0,0,0,0,0,0,0,0,0,0,1.102025659,0,0,0,0,0,0,0
58,0,0,0,0,0,5.206954612,6.288174814,7.935962281,8.90233804,0,10.773286,11.61963541,6.356585623,6.182486259,5.040203131,4.948039991,2.734373703,0,0,1.927925259,0,0,0,0,2.169822312,1.84007408,0,1.993331487,0.880542314,0,0,0,0,1.797662481,0,0,0,0,1.213081851,2.890309403,0,0,0,0,0,0,1.458667812,1.430132678,0,0,0,0,2.077178934,0,0,0,0,0,0,0,1.195467548,0,0,0,0,0
57,1.471310648,3.711357756,2.560171711,4.174158352,6.246721788,10.50311877,10.26871697,12.39769056,15.40711779,17.89469181,18.32436019,17.62587582,15.71704062,14.87114965,10.40579704,7.164625302,6.770257911,0,2.545877367,0,0,0,1.821142268,0,0,0,0,0,0,0,0,0,0,0.923752996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.594780908,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41270125,0,0,0
56,0,3.244953247,0,5.626118216,8.126466167,11.97594377,13.907959,21.33577915,24.90625163,28.16938516,30.02261332,31.27584185,29.16228754,25.94101834,19.91465005,14.09355135,9.100660815,6.472606145,5.020300071,3.619011956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.970030315,0,0,0,0,0,0,0,0.753391879,0,0,0,0,0,0,0,0,1.910490332,0,0,0
55,0,0,7.045049943,8.446877771,12.02463577,15.93836965,22.99296062,30.2679641,33.10697977,35.82882128,36.15003518,35.24535539,35.96810304,34.90760746,31.61679525,23.17683765,15.54348462,12.01419673,5.405784361,5.742033535,3.063677282,0,0,0,0,0,0,0,0,0,0,1.387213315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,6.163287201,10.59003678,14.46366853,20.07857762,28.18204081,33.41888672,35.00031068,34.26323156,35.84066259,35.54657843,35.4689038,35.77555793,36.07301767,28.24329979,20.12503354,11.99031677,9.76261838,7.368184729,3.79184763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040281373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4.048930504,4.998270521,0,8.844235018,17.37241727,24.92796201,31.42893652,35.12575203,35.2657127,35.44504897,35.55347431,35.76676088,35.8618091,35.78782507,35.71149755,35.35723888,35.10183509,24.60331127,15.98819367,11.20397546,8.030874696,6.156449046,3.467336785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.521298138,0,0,0,1.382208757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,4.945386554,7.212062468,10.47676673,19.72627452,25.20149527,33.63968884,35.439118,35.49466572,35.47137955,35.3713131,36.17641185,35.86217152,35.81064744,34.82140184,33.93604834,27.17069473,17.33933296,11.42945689,8.761558268,4.000179538,0,3.139233113,0,0,0,0,0,0,0,2.320611705,0,5.81537141,5.430209558,4.641363418,3.920049271,0,1.91364542,0,1.626878172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
