genes,day,condition,relative_ct,relative_expression
sgpB,1-d0,c0,-0.5,1.42
sgpB,1-d0,c0,-0.89,1.85
sgpB,1-d0,c0,0.42,0.75
sgpB,1-d0,c0,-0.92,1.89
sgpB,1-d0,c0,0.04,0.98
sgpB,1-d0,c0,0,1
sgpB,1-d0,c0,0.31,0.81
sgpB,1-d0,c0,-0.03,1.02
sgpB,1-d0,c0,-0.14,1.1
sgpB,1-d0,c0,-0.31,1.24
sgpB,1-d0,c0,-0.72,1.64
sgpB,1-d0,c0,-0.55,1.47
sgpB,1-d0,c0,-1.23,2.34
sgpB,1-d0,c0,-1.15,2.22
sgpB,1-d1,c1,-3.42,10.67
sgpB,1-d1,c1,-3.97,15.72
sgpB,1-d1,c1,-4.1,17.16
sgpB,1-d1,c1,-3.79,13.79
sgpB,1-d1,c1,-4.06,16.67
sgpB,1-d1,c1,-3.77,13.6
sgpB,1-d2,c1,-2.91,7.49
sgpB,1-d2,c1,-2.47,5.56
sgpB,1-d2,c1,-3.16,8.95
sgpB,1-d2,c1,-3.34,10.1
sgpB,1-d2,c1,-3.22,9.33
sgpB,1-d2,c1,-3.1,8.56
sgpB,1-d3,c1,-2.38,5.2
sgpB,1-d3,c1,-1.72,3.3
sgpB,1-d3,c1,-2.7,6.51
sgpB,1-d3,c1,-2.66,6.3
sgpB,2-d1,c2,-1.76,3.39
sgpB,2-d1,c2,-1.76,3.39
sgpB,2-d1,c2,-1.09,2.13
sgpB,2-d1,c2,-2.11,4.31
sgpB,2-d1,c2,-1.98,3.94
sgpB,2-d1,c2,-1.95,3.86
sgpB,2-d2,c2,-1.61,3.05
sgpB,2-d2,c2,-1.75,3.36
sgpB,2-d2,c2,-2.05,4.14
sgpB,2-d2,c2,-1.79,3.46
sgpB,2-d3,c2,-1.28,2.43
sgpB,2-d3,c2,0.28,0.83
sgpB,2-d3,c2,-0.96,1.95
sgpB,2-d3,c2,-1.14,2.2
sgpB,2-d3,c2,-0.42,1.34
